Ward,No income,Bracket A_R 1 to R 400_,Bracket B_R 401 to R 800_,Bracket C_R 801 to R 1 600_,Bracket D_R 1 601 to R 3 200_,Bracket E_R 3 201 to R 6 400_,Bracket F_R 6 401 to R 12 800_,Bracket G_R 12 801 to R 25 600_,Bracket H_R 25 601 to R 51 200_,Bracket I_R 51 201 to R 102 400_,Bracket J_R 102 401 to R 204 800_,Bracket K_R 204 801 or more_
58,14.7850191,4.2732904,3.7805798,6.7518537,6.8175247,6.5370599,6.7213915,5.882989,4.6706847,2.6713998,2.166105,2.2108794
57,21.1291026,7.0317288,5.4995212,9.893676,9.9272645,11.6129839,11.9165214,10.4804061,7.4798158,4.357057,3.4168877,3.3593055
56,16.1410749,5.2539695,4.5721207,6.7727111,8.1977609,8.219894,7.9399344,7.5608757,6.110024,3.3834549,1.6344679,1.9674047
55,19.0039107,5.0210542,5.0079398,9.062841,9.7026561,9.521405,9.0569694,8.2992401,4.8999932,3.0560848,1.6912845,1.7241494
54,20.0363375,3.8872307,3.950199,8.7234332,7.1953792,9.3957177,11.8883693,13.5219194,11.1080451,5.9313839,3.571887,3.4187751
53,39.9306794,15.7133164,6.9206567,11.9073916,13.3649361,19.1196115,26.1628096,16.0844881,5.5745151,4.1567657,4.39227,3.26271
52,67.3380271,26.5765139,13.0670605,31.3981741,24.6513275,23.1303428,17.6158776,6.9488908,5.4627567,2.305804,2.360585,1.11123
51,67.0188528,28.4184224,14.7183784,26.5675128,21.4283141,20.0648128,13.656058,6.2638315,2.560531,2.32721,1.5634333,1.407244
50,11.6004201,7.2414977,2.9655985,4.8266971,5.1261929,4.8712422,3.4282681,2.4167859,1.4085775,1.207125,1.152675,1.12502
49,26.1188552,11.2205417,8.7061214,11.4827143,13.2285577,12.5902954,7.9934596,4.8068626,2.9461288,1.5634333,1.727729,1.5507944
39,32.8024585,10.3511705,6.4256327,14.5091662,13.1264272,15.7257628,11.4578253,8.3377824,3.7160879,3.02025,2.749468,2.0489225
40,10.0337776,4.4557416,2.9839237,4.6650466,4.4997153,4.4607022,4.3302607,3.6265829,1.8320105,1.32339,2.267365,1.71983
41,31.6653208,15.3488036,6.1738775,15.7300204,12.6266202,11.4547105,11.667,6.04178,3.2055065,1.7295917,1.3673883,1.156135
42,37.1026811,16.8850736,9.2586403,18.0503495,15.586993,14.4529349,11.8271619,7.0513176,2.3257016,1.1687967,1.877848,3.5324
43,44.1460335,19.0167712,10.842826,18.9771067,13.8562816,14.9779368,12.4133513,8.1388384,4.0695906,2.3482867,1.2736809,1.183614
44,47.7403854,21.8611911,12.7658594,18.0955746,21.202557,20.9888532,17.2463867,11.1285531,5.3398175,2.7597183,6.21924,2.1263333
45,44.2653473,24.9086511,9.3468542,20.2133677,15.8232325,17.6447269,18.1007426,9.9648548,7.5345591,3.1425525,2.58349,1.9302633
46,54.0800709,25.0702902,12.6294428,23.5390448,24.2445845,19.4560154,16.6932941,8.2613504,4.254985,2.082416,2.04007,1.1265975
47,24.4664846,13.7330298,6.5709465,12.6348658,12.2504656,11.4659748,10.9152285,5.7388485,2.8988715,1.8066575,3.51964,1.5315217
48,43.5430034,20.4778775,10.2015326,17.0623805,15.0851198,17.4658557,16.7033127,14.6740483,5.8850875,2.9168575,1.404874,2.7137933
,18.5567593,9.4959082,5.0942968,8.2870986,8.9012492,8.981028,9.3761523,9.5994045,8.3714895,6.803668,4.0192186,3.4801059
